RENOVACION COSTARRICENSE,66,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
REPUBLICANO SOCIAL CRISTIANO,661,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
RESTAURACION NACIONAL,1051,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
UNIDAD SOCIAL CRISTIANA,1512,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
NULO,93,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
BLANCO,19,SAN JOSE,TARRAZU,16280.00,297.50,54.72,50.31,98.80,4551.00,3.58,66.25,2.46,95.12,6.74,21.71,78.76,23.97,17.75,5.85,9.14,14.02,22.97,13.18,6106,1881,82
ACCESIBILIDAD SIN EXCLUSION,107,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
ACCION CIUDADANA,6424,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
ALIANZA DEMOCRATA CRISTIANA,84,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
DE LOS TRABAJADORES,59,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
FRENTE AMPLIO,201,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
INTEGRACION NACIONAL,2700,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
LIBERACION NACIONAL,6024,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
MOVIMIENTO LIBERTARIO,296,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
NUEVA GENERACION,204,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
RENOVACION COSTARRICENSE,167,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
REPUBLICANO SOCIAL CRISTIANO,1902,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
RESTAURACION NACIONAL,6351,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
UNIDAD SOCIAL CRISTIANA,3997,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
NULO,234,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
BLANCO,49,SAN JOSE,ASERRI,57892.00,167.10,346.45,71.13,95.83,16120.00,3.59,62.49,4.44,97.45,7.89,23.37,74.68,35.57,13.97,4.94,10.82,13.81,29.97,5.85,19091,9757,295
